query_id,rule_name,original_sql,rewritten_sql,changed,is_equivalent,execution_time_original,execution_time_rewritten,cost_original,cost_rewritten,improvement_percent,cost_reduction_percent,optimizer_reasoning,note
q1,old_predicate_pushdown,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';",False,False,243.563,,44845.0,,,,,no change
q1,old_projection_pruning,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","/* WARNING: SELECT * encountered; cannot safely prune projections without schema */
SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';",True,True,243.563,456.912,44845.0,44845.0,-87.59,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,old_subquery_unnesting,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';",False,False,243.563,,44845.0,,,,,no change
q1,ast_predicate_pushdown,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,470.998,44845.0,44845.0,-93.38,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_projection_pruning,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","/* WARNING: SELECT * encountered; schema required for full AST pruning */
SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';",True,True,243.563,557.115,44845.0,44845.0,-128.74,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_subquery_unnesting,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,422.354,44845.0,44845.0,-73.41,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_join_reordering,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,488.825,44845.0,44845.0,-100.7,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_aggregation_pushdown,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,551.709,44845.0,44845.0,-126.52,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_redundant_join_elimination,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,517.821,44845.0,44845.0,-112.6,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
q1,ast_filter_into_join,"SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O';","SELECT * FROM (SELECT o_orderkey, o_custkey, o_orderstatus FROM orders) AS sub WHERE o_orderstatus = 'O'",True,True,243.563,510.103,44845.0,44845.0,-109.43,0.0,Original query is structurally equivalent or better.,rewrite valid but not better
